position distance_dtw forecast_error
|Point(x=7, y=61)| 1.272 0.174
|Point(x=7, y=62)| 1.291 0.157
|Point(x=7, y=63)| 1.278 0.160
|Point(x=7, y=64)| 1.314 0.146
|Point(x=7, y=65)| 1.259 0.167
|Point(x=7, y=66)| 1.262 0.166
|Point(x=7, y=67)| 1.301 0.156
|Point(x=7, y=68)| 1.255 0.134
|Point(x=7, y=69)| 1.229 0.133
|Point(x=7, y=70)| 1.241 0.140
|Point(x=7, y=71)| 1.303 0.150
|Point(x=7, y=72)| 1.280 0.151
|Point(x=7, y=73)| 1.321 0.156
|Point(x=7, y=74)| 1.334 0.151
|Point(x=7, y=75)| 1.283 0.136
|Point(x=7, y=76)| 1.260 0.144
|Point(x=7, y=77)| 1.205 0.151
|Point(x=7, y=78)| 1.273 0.178
|Point(x=7, y=79)| 1.285 0.142
|Point(x=7, y=80)| 1.220 0.121
|Point(x=7, y=81)| 1.161 0.101
|Point(x=7, y=82)| 1.041 0.128
|Point(x=7, y=83)| 1.033 0.144
|Point(x=7, y=84)| 1.101 0.128
|Point(x=7, y=85)| 1.185 0.099
|Point(x=7, y=86)| 1.201 0.090
|Point(x=7, y=87)| 1.208 0.100
|Point(x=7, y=88)| 1.226 0.103
|Point(x=7, y=89)| 1.218 0.099
|Point(x=7, y=90)| 1.264 0.104
|Point(x=7, y=91)| 1.218 0.115
|Point(x=7, y=92)| 1.233 0.128
|Point(x=7, y=93)| 1.312 0.137
|Point(x=7, y=94)| 1.337 0.142
|Point(x=7, y=95)| 1.376 0.143
|Point(x=7, y=96)| 1.443 0.170
|Point(x=7, y=97)| 1.532 0.180
|Point(x=7, y=98)| 1.515 0.169
|Point(x=7, y=99)| 1.517 0.166
|Point(x=7, y=100)| 1.537 0.176
|Point(x=7, y=101)| 1.537 0.185
|Point(x=7, y=102)| 1.522 0.190
|Point(x=7, y=103)| 1.542 0.200
|Point(x=7, y=104)| 1.590 0.206
|Point(x=8, y=15)| 1.817 0.397
|Point(x=8, y=32)| 1.776 0.140
|Point(x=8, y=33)| 1.830 0.147
|Point(x=8, y=34)| 1.642 0.477
|Point(x=8, y=35)| 2.127 0.667
|Point(x=8, y=38)| 1.533 0.533
|Point(x=8, y=39)| 1.477 0.236
|Point(x=8, y=40)| 1.512 0.289
|Point(x=8, y=41)| 1.366 0.260
|Point(x=8, y=49)| 1.573 0.267
|Point(x=8, y=50)| 1.481 0.185
|Point(x=8, y=56)| 1.607 0.243
|Point(x=8, y=57)| 1.570 0.224
|Point(x=8, y=58)| 1.529 0.193
|Point(x=8, y=59)| 1.461 0.138
|Point(x=8, y=60)| 1.354 0.136
|Point(x=8, y=61)| 1.344 0.154
|Point(x=8, y=62)| 1.397 0.109
|Point(x=8, y=63)| 1.354 0.123
|Point(x=8, y=64)| 1.315 0.133
|Point(x=8, y=65)| 1.325 0.114
|Point(x=8, y=66)| 1.300 0.131
|Point(x=8, y=67)| 1.366 0.170
|Point(x=8, y=68)| 1.331 0.165
|Point(x=8, y=69)| 1.349 0.164
|Point(x=8, y=70)| 1.391 0.183
|Point(x=8, y=71)| 1.355 0.171
|Point(x=8, y=72)| 1.405 0.186
|Point(x=8, y=73)| 1.515 0.211
|Point(x=8, y=74)| 1.374 0.199
|Point(x=8, y=75)| 1.317 0.174
|Point(x=8, y=76)| 1.332 0.194
|Point(x=8, y=77)| 1.345 0.213
|Point(x=8, y=78)| 1.410 0.209
|Point(x=8, y=79)| 1.416 0.178
|Point(x=8, y=80)| 1.337 0.157
|Point(x=8, y=81)| 1.235 0.145
|Point(x=8, y=82)| 1.244 0.152
|Point(x=8, y=83)| 1.283 0.156
|Point(x=8, y=84)| 1.326 0.154
|Point(x=8, y=85)| 1.334 0.148
|Point(x=8, y=86)| 1.346 0.119
|Point(x=8, y=87)| 1.335 0.111
|Point(x=8, y=88)| 1.289 0.110
|Point(x=8, y=89)| 1.257 0.108
|Point(x=8, y=90)| 1.281 0.109
|Point(x=8, y=91)| 1.273 0.119
|Point(x=8, y=92)| 1.291 0.143
|Point(x=8, y=93)| 1.360 0.154
|Point(x=8, y=94)| 1.388 0.144
|Point(x=8, y=95)| 1.400 0.150
|Point(x=8, y=96)| 1.456 0.166
|Point(x=8, y=97)| 1.488 0.183
|Point(x=8, y=98)| 1.485 0.175
|Point(x=8, y=99)| 1.428 0.169
|Point(x=8, y=100)| 1.487 0.170
|Point(x=8, y=101)| 1.549 0.190
|Point(x=8, y=102)| 1.517 0.189
|Point(x=8, y=103)| 1.547 0.194
|Point(x=8, y=104)| 1.555 0.188
|Point(x=9, y=34)| 1.561 0.292
|Point(x=9, y=35)| 1.787 0.567
|Point(x=9, y=38)| 1.483 0.411
|Point(x=9, y=39)| 1.589 0.296
|Point(x=9, y=40)| 1.864 0.259
|Point(x=9, y=43)| 1.407 0.276
|Point(x=9, y=44)| 1.570 0.252
|Point(x=9, y=46)| 1.466 0.413
|Point(x=9, y=49)| 1.635 0.344
|Point(x=9, y=58)| 1.477 0.235
|Point(x=9, y=59)| 1.449 0.153
|Point(x=9, y=60)| 1.464 0.124
|Point(x=9, y=61)| 1.492 0.093
|Point(x=9, y=62)| 1.421 0.080
|Point(x=9, y=63)| 1.348 0.102
|Point(x=9, y=64)| 1.358 0.074
|Point(x=9, y=65)| 1.341 0.072
|Point(x=9, y=66)| 1.305 0.111
|Point(x=9, y=67)| 1.397 0.166
|Point(x=9, y=68)| 1.378 0.152
|Point(x=9, y=69)| 1.345 0.180
|Point(x=9, y=70)| 1.416 0.194
|Point(x=9, y=71)| 1.410 0.191
|Point(x=9, y=72)| 1.445 0.194
|Point(x=9, y=73)| 1.424 0.202
|Point(x=9, y=74)| 1.480 0.222
|Point(x=9, y=75)| 1.484 0.232
|Point(x=9, y=76)| 1.459 0.237
|Point(x=9, y=77)| 1.518 0.239
|Point(x=9, y=78)| 1.524 0.253
|Point(x=9, y=79)| 1.475 0.218
|Point(x=9, y=80)| 1.417 0.187
|Point(x=9, y=81)| 1.390 0.175
|Point(x=9, y=82)| 1.429 0.180
|Point(x=9, y=83)| 1.450 0.183
|Point(x=9, y=84)| 1.431 0.184
|Point(x=9, y=85)| 1.456 0.166
|Point(x=9, y=86)| 1.556 0.147
|Point(x=9, y=87)| 1.579 0.125
|Point(x=9, y=88)| 1.429 0.128
|Point(x=9, y=89)| 1.323 0.139
|Point(x=9, y=90)| 1.339 0.126
|Point(x=9, y=91)| 1.371 0.130
|Point(x=9, y=92)| 1.445 0.145
|Point(x=9, y=93)| 1.392 0.139
|Point(x=9, y=94)| 1.397 0.133
|Point(x=9, y=95)| 1.402 0.130
|Point(x=9, y=96)| 1.472 0.136
|Point(x=9, y=97)| 1.546 0.146
|Point(x=9, y=98)| 1.578 0.154
|Point(x=9, y=99)| 1.529 0.147
|Point(x=9, y=100)| 1.450 0.138
|Point(x=9, y=101)| 1.467 0.134
|Point(x=9, y=102)| 1.467 0.139
|Point(x=9, y=103)| 1.452 0.148
|Point(x=9, y=104)| 1.492 0.160
|Point(x=10, y=34)| 1.579 0.449
|Point(x=10, y=35)| 1.475 0.499
|Point(x=10, y=36)| 1.439 0.436
|Point(x=10, y=37)| 1.591 0.488
|Point(x=10, y=38)| 1.508 0.314
|Point(x=10, y=44)| 1.608 0.121
|Point(x=10, y=59)| 1.386 0.218
|Point(x=10, y=60)| 1.504 0.122
|Point(x=10, y=61)| 1.538 0.081
|Point(x=10, y=62)| 1.499 0.068
|Point(x=10, y=63)| 1.561 0.055
|Point(x=10, y=65)| 1.512 0.063
|Point(x=10, y=66)| 1.456 0.090
|Point(x=10, y=67)| 1.414 0.147
|Point(x=10, y=68)| 1.417 0.144
|Point(x=10, y=69)| 1.379 0.166
|Point(x=10, y=70)| 1.363 0.147
|Point(x=10, y=71)| 1.364 0.156
|Point(x=10, y=72)| 1.384 0.169
|Point(x=10, y=73)| 1.402 0.190
|Point(x=10, y=74)| 1.523 0.229
|Point(x=10, y=75)| 1.567 0.245
|Point(x=10, y=76)| 1.537 0.252
|Point(x=10, y=77)| 1.504 0.250
|Point(x=10, y=78)| 1.477 0.239
|Point(x=10, y=79)| 1.466 0.219
|Point(x=10, y=80)| 1.484 0.209
|Point(x=10, y=81)| 1.520 0.187
|Point(x=10, y=82)| 1.537 0.184
|Point(x=10, y=83)| 1.564 0.192
|Point(x=10, y=84)| 1.580 0.200
|Point(x=10, y=85)| 1.594 0.196
|Point(x=10, y=86)| 1.601 0.184
|Point(x=10, y=87)| 1.652 0.167
|Point(x=10, y=88)| 1.623 0.157
|Point(x=10, y=89)| 1.597 0.158
|Point(x=10, y=90)| 1.492 0.154
|Point(x=10, y=91)| 1.420 0.148
|Point(x=10, y=92)| 1.412 0.144
|Point(x=10, y=93)| 1.408 0.125
|Point(x=10, y=94)| 1.489 0.113
|Point(x=10, y=95)| 1.542 0.111
|Point(x=10, y=96)| 1.585 0.106
|Point(x=10, y=97)| 1.540 0.101
|Point(x=10, y=98)| 1.532 0.124
|Point(x=10, y=99)| 1.496 0.145
|Point(x=10, y=100)| 1.561 0.168
|Point(x=10, y=101)| 1.465 0.160
|Point(x=10, y=102)| 1.438 0.156
|Point(x=10, y=103)| 1.469 0.159
|Point(x=10, y=104)| 1.531 0.156
|Point(x=11, y=37)| 1.685 0.341
|Point(x=11, y=38)| 1.856 0.314
|Point(x=11, y=61)| 1.394 0.094
|Point(x=11, y=62)| 1.663 0.096
|Point(x=11, y=66)| 1.439 0.093
|Point(x=11, y=67)| 1.400 0.158
|Point(x=11, y=68)| 1.452 0.150
|Point(x=11, y=69)| 1.424 0.161
|Point(x=11, y=70)| 1.400 0.127
|Point(x=11, y=71)| 1.359 0.132
|Point(x=11, y=72)| 1.391 0.154
|Point(x=11, y=73)| 1.455 0.184
|Point(x=11, y=74)| 1.509 0.195
|Point(x=11, y=75)| 1.445 0.190
|Point(x=11, y=76)| 1.453 0.183
|Point(x=11, y=77)| 1.478 0.200
|Point(x=11, y=78)| 1.534 0.215
|Point(x=11, y=79)| 1.521 0.214
|Point(x=11, y=80)| 1.543 0.203
|Point(x=11, y=81)| 1.591 0.186
|Point(x=11, y=82)| 1.693 0.186
|Point(x=11, y=83)| 1.667 0.200
|Point(x=11, y=84)| 1.695 0.213
|Point(x=11, y=85)| 1.753 0.221
|Point(x=11, y=86)| 1.739 0.211
|Point(x=11, y=87)| 1.657 0.181
|Point(x=11, y=88)| 1.641 0.158
|Point(x=11, y=89)| 1.606 0.156
|Point(x=11, y=90)| 1.554 0.159
|Point(x=11, y=91)| 1.527 0.155
|Point(x=11, y=92)| 1.504 0.139
|Point(x=11, y=93)| 1.517 0.117
|Point(x=11, y=94)| 1.508 0.122
|Point(x=11, y=95)| 1.539 0.126
|Point(x=11, y=96)| 1.610 0.133
|Point(x=11, y=97)| 1.662 0.141
|Point(x=11, y=98)| 1.637 0.145
|Point(x=11, y=99)| 1.609 0.177
|Point(x=11, y=100)| 1.737 0.220
|Point(x=11, y=101)| 1.704 0.185
|Point(x=11, y=102)| 1.672 0.156
|Point(x=11, y=103)| 1.701 0.141
|Point(x=11, y=104)| 1.695 0.134
|Point(x=12, y=62)| 1.405 0.088
|Point(x=12, y=63)| 1.474 0.062
|Point(x=12, y=66)| 1.508 0.167
|Point(x=12, y=69)| 1.556 0.173
|Point(x=12, y=70)| 1.444 0.156
|Point(x=12, y=71)| 1.420 0.143
|Point(x=12, y=72)| 1.515 0.153
|Point(x=12, y=73)| 1.491 0.160
|Point(x=12, y=74)| 1.485 0.161
|Point(x=12, y=75)| 1.509 0.163
|Point(x=12, y=76)| 1.501 0.168
|Point(x=12, y=77)| 1.610 0.183
|Point(x=12, y=78)| 1.683 0.191
|Point(x=12, y=79)| 1.703 0.200
|Point(x=12, y=80)| 1.693 0.195
|Point(x=12, y=81)| 1.614 0.193
|Point(x=12, y=82)| 1.698 0.210
|Point(x=12, y=83)| 1.689 0.219
|Point(x=12, y=84)| 1.684 0.224
|Point(x=12, y=85)| 1.771 0.236
|Point(x=12, y=86)| 1.783 0.269
|Point(x=12, y=87)| 1.644 0.225
|Point(x=12, y=88)| 1.597 0.186
|Point(x=12, y=89)| 1.675 0.170
|Point(x=12, y=90)| 1.694 0.148
|Point(x=12, y=91)| 1.662 0.178
|Point(x=12, y=92)| 1.606 0.189
|Point(x=12, y=93)| 1.644 0.169
|Point(x=12, y=94)| 1.630 0.205
|Point(x=12, y=95)| 1.711 0.215
|Point(x=12, y=96)| 1.768 0.216
|Point(x=12, y=97)| 1.751 0.207
